Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
27/11/20,Rico,CNTO3,Compra,1,28.76,B3I,Confirmada
02/12/20,Rico,KLBN4,Compra,1,4.99,B3I,Confirmada
11/12/20,Rico,PSSA3,Compra,1,48.57,B3I,Confirmada
11/12/20,Rico,CNTO3,Compra,37,27.72,B3I,Confirmada
11/12/20,Rico,KLBN4,Compra,1,4.74,B3I,Confirmada
14/12/20,Rico,ITSA3,Compra,1,11.94,B3I,Confirmada
14/12/20,Rico,RADL3,Compra,1,24.88,B3I,Confirmada
07/01/21,Rico,KLBN4,Compra,1,5.33,B3I,Confirmada
08/01/21,Rico,PSSA3,Compra,30,49.06,B3I,Confirmada
08/01/21,Rico,WEGE3,Venda,55,88.59,B3I,Confirmada
08/01/21,Rico,RADL3,Compra,9,24.88,B3I,Confirmada
14/01/21,Rico,VLID1,Compra,21,0.00,B3I,Confirmada
18/01/21,Rico,PNVL3,Compra,9,23.25,B3I,Confirmada
19/01/21,Rico,KLBN4,Compra,1,5.63,B3I,Confirmada
27/01/21,Rico,CAML3,Compra,4,10.79,B3I,Confirmada
29/01/21,Rico,KLBN4,Compra,1,5.52,B3I,Confirmada
29/01/21,Rico,CAML3,Compra,3,11.09,B3I,Confirmada
08/02/21,Rico,CAML3,Compra,2,11.41,B3I,Confirmada
10/02/21,Rico,VLID1,Venda,21,0.00,B3I,Confirmada
12/02/21,Rico,CAML3,Compra,13,11.27,B3I,Confirmada
12/02/21,Rico,KLBN4,Compra,1,5.49,B3I,Confirmada
22/02/21,Rico,ENBR3,Compra,100,18.16,B3I,Confirmada
22/02/21,Rico,LWSA3,Venda,8,32.87,B3I,Confirmada
22/02/21,Rico,LWSA3,Venda,100,32.83,B3I,Confirmada
22/02/21,Rico,ENBR3,Compra,95,18.19,B3I,Confirmada
25/02/21,Rico,CAML3,Compra,3,10.73,B3I,Confirmada
01/03/21,Rico,CAML3,Compra,1,10.40,B3I,Confirmada
05/03/21,Rico,CAML3,Compra,1,11.17,B3I,Confirmada
08/03/21,Rico,CAML3,Compra,3,11.32,B3I,Confirmada
09/03/21,Rico,BBSE3,Compra,48,24.15,B3I,Confirmada
12/03/21,Rico,CAML3,Compra,23,10.69,B3I,Confirmada
12/04/21,Rico,CAML3,Compra,10,10.35,B3I,Confirmada
15/04/21,Rico,CAML3,Compra,5,10.57,B3I,Confirmada
29/04/21,Rico,WEGE3,Compra,1,35.83,B3I,Confirmada
04/05/21,Rico,BBDC3,Compra,1,20.70,B3I,Confirmada
07/05/21,Rico,CAML3,Compra,10,9.71,B3I,Confirmada
07/05/21,Rico,CAML3,Compra,1,9.85,B3I,Confirmada
12/05/21,Rico,CAML3,Compra,5,9.55,B3I,Confirmada
31/05/21,Rico,BBSE3,Compra,1,23.52,B3I,Confirmada
12/07/21,XP,BBSE3,Compra,1,22.91,B3I,Confirmada
06/08/21,XP,FLRY3,Compra,1,23.11,B3I,Confirmada
13/08/21,XP,EGIE3,Compra,1,37.49,B3I,Confirmada
13/08/21,XP,B3SA3,Compra,36,13.76,B3I,Confirmada
13/08/21,XP,EGIE3,Compra,1,37.54,B3I,Confirmada
26/08/21,XP,B3SA3,Compra,4,13.86,B3I,Confirmada
02/09/21,XP,EQTL3,Compra,31,26.15,B3I,Confirmada
02/09/21,XP,CAML3,Venda,84,9.69,B3I,Confirmada
15/09/21,XP,B3SA3,Compra,7,14.03,B3I,Confirmada
15/09/21,XP,KLBN4,Compra,2,4.75,B3I,Confirmada
29/09/21,XP,B3SA3,Compra,4,12.87,B3I,Confirmada
04/10/21,XP,VLID3,Venda,5,8.28,B3I,Confirmada
04/10/21,XP,VLID3,Venda,100,8.28,B3I,Confirmada
05/10/21,XP,B3SA3,Compra,2,12.36,B3I,Confirmada
06/10/21,XP,BBSE3,Compra,5,19.84,B3I,Confirmada
07/10/21,XP,EGIE3,Compra,1,37.31,B3I,Confirmada
07/10/21,XP,KLBN4,Compra,1,4.23,B3I,Confirmada
08/10/21,XP,BBSE3,Compra,1,19.95,B3I,Confirmada
15/10/21,XP,BBSE3,Compra,1,21.24,B3I,Confirmada
22/10/21,XP,B3SA3,Compra,100,12.46,B3I,Confirmada
26/10/21,XP,EQTL3,Compra,1,23.90,B3I,Confirmada
16/11/21,XP,MGLU3,Compra,2,10.54,B3I,Confirmada
16/11/21,XP,PNVL3,Compra,9,13.66,B3I,Confirmada
16/11/21,XP,PNVL3,Compra,36,13.62,B3I,Confirmada
16/11/21,XP,PNVL3,Venda,72,13.59,B3I,Confirmada
16/11/21,XP,RADL3,Compra,29,22.74,B3I,Confirmada
16/11/21,XP,PNVL3,Compra,18,13.61,B3I,Confirmada
16/11/21,XP,EQTL3,Compra,20,23.81,B3I,Confirmada
17/11/21,XP,MGLU3,Compra,32,9.24,B3I,Confirmada
26/11/21,XP,MGLU3,Compra,2,8.23,B3I,Confirmada
26/11/21,XP,BBSE3,Compra,10,21.61,B3I,Confirmada
26/11/21,XP,SBFG3,Compra,12,25.93,B3I,Confirmada
26/11/21,XP,FLRY3,Compra,23,17.92,B3I,Confirmada
29/11/21,XP,HYPE3,Compra,2,27.55,B3I,Confirmada
30/11/21,XP,HYPE3,Compra,18,27.45,B3I,Confirmada
30/11/21,XP,EQTL3,Compra,1,22.87,B3I,Confirmada
14/12/21,XP,EQTL3,Compra,11,23.91,B3I,Confirmada
15/12/21,XP,BBSE3,Compra,48,20.97,B3I,Confirmada
16/12/21,XP,KLBN4,Compra,1,4.95,B3I,Confirmada
20/12/21,XP,SOMA3,Compra,53,12.47,B3I,Confirmada
20/12/21,XP,MGLU3,Compra,2,6.34,B3I,Confirmada
20/12/21,XP,SOMA3,Compra,100,12.60,B3I,Confirmada
20/12/21,XP,LREN3,Venda,75,25.77,B3I,Confirmada
05/01/22,XP,EQTL3,Compra,7,21.98,B3I,Confirmada
07/01/22,XP,SOMA3,Compra,4,10.58,B3I,Confirmada
10/01/22,XP,SOMA3,Compra,4,10.31,B3I,Confirmada
14/01/22,XP,SOMA3,Compra,2,10.80,B3I,Confirmada
14/01/22,XP,HYPE3,Compra,12,27.15,B3I,Confirmada
26/01/22,XP,EQTL3,Compra,3,22.39,B3I,Confirmada
07/02/22,XP,EQTL3,Compra,2,24.30,B3I,Confirmada
14/02/22,XP,EQTL3,Compra,9,24.01,B3I,Confirmada
24/02/22,XP,MGLU3,Compra,90,5.79,B3I,Confirmada
24/02/22,XP,KLBN4,Compra,100,4.35,B3I,Confirmada
24/02/22,XP,SBFG3,Compra,22,23.04,B3I,Confirmada
03/03/22,XP,VIVA3,Compra,100,26.12,B3I,Confirmada
03/03/22,XP,ABEV3,Compra,54,14.27,B3I,Confirmada
16/03/22,XP,FLRY3,Compra,22,16.76,B3I,Confirmada
16/03/22,XP,ABEV3,Compra,100,13.79,B3I,Confirmada
18/03/22,XP,LEVE3,Compra,1,25.43,B3I,Confirmada
18/03/22,XP,LEVE3,Compra,1,25.43,B3I,Confirmada
01/04/22,XP,PETZ3,Compra,7,19.19,B3I,Confirmada
01/04/22,XP,MGLU3,Venda,20,7.25,B3I,Confirmada
05/04/22,XP,PETZ3,Compra,100,18.84,B3I,Confirmada
05/04/22,XP,AGRO3,Compra,65,33.39,B3I,Confirmada
05/04/22,XP,SOMA3,Compra,5,15.52,B3I,Confirmada
08/04/22,XP,AGRO3,Compra,17,30.61,B3I,Confirmada
08/04/22,XP,PETZ3,Compra,30,17.13,B3I,Confirmada
14/04/22,XP,EQTL3,Compra,19,25.37,B3I,Confirmada
14/04/22,XP,B3SA3,Compra,35,14.33,B3I,Confirmada
29/04/22,XP,SOMA3,Compra,23,12.60,B3I,Confirmada
13/05/22,XP,MOVI3,Compra,23,16.33,B3I,Confirmada
13/05/22,XP,MOVI3,Compra,50,16.32,B3I,Confirmada
30/05/22,XP,PETZ3,Compra,82,12.23,B3I,Confirmada
13/06/22,XP,MOVI3,Compra,29,14.57,B3I,Confirmada
13/06/22,XP,MOVI3,Compra,3,14.69,B3I,Confirmada
14/06/22,XP,MOVI3,Compra,12,14.20,B3I,Confirmada
14/06/22,XP,MOVI3,Compra,13,14.43,B3I,Confirmada
24/06/22,XP,MOVI3,Compra,8,14.00,B3I,Confirmada
14/07/22,XP,B3SA3,Compra,41,10.28,B3I,Confirmada
26/07/22,XP,KLBN4,Compra,33,3.62,B3I,Confirmada
28/07/22,XP,LOGG3,Venda,100,20.71,B3I,Confirmada
28/07/22,XP,LOGG3,Venda,19,19.78,B3I,Confirmada
12/08/22,XP,AGRO3,Compra,9,26.00,B3I,Confirmada
15/08/22,XP,KLBN4,Compra,100,3.98,B3I,Confirmada
08/09/22,XP,MOVI3,Compra,2,14.06,B3I,Confirmada
16/09/22,XP,PETZ3,Compra,3,9.97,B3I,Confirmada
23/09/22,XP,PETZ3,Compra,14,10.50,B3I,Confirmada
23/09/22,XP,SBFG3,Compra,6,23.31,B3I,Confirmada
18/10/22,XP,MOVI3,Compra,5,13.63,B3I,Confirmada
19/10/22,XP,PETZ3,Compra,10,8.71,B3I,Confirmada
20/10/22,XP,FLRY1,Compra,29,0.00,B3I,Confirmada
31/10/22,XP,FIQE3,Compra,200,3.92,B3I,Confirmada
