Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
23/02/21,Rico,HCTR12,Venda,5,0.00,B3I,Confirmada
16/03/21,Rico,BCFF12,Compra,10,0.00,B3I,Confirmada
31/03/21,Rico,BCFF12,Venda,10,0.00,B3I,Confirmada
01/04/21,Rico,BCFF13,Compra,10,84.39,B3I,Confirmada
15/04/21,Rico,HGFF11,Compra,1,90.30,B3I,Confirmada
04/05/21,Rico,TGAR12,Compra,11,0.00,B3I,Confirmada
06/05/21,Rico,HCTR12,Compra,5,0.00,B3I,Confirmada
10/05/21,Rico,TGAR12,Venda,11,1.13,B3I,Confirmada
14/05/21,Rico,HGRU11,Compra,1,119.63,B3I,Confirmada
20/05/21,Rico,HCTR12,Venda,5,0.00,B3I,Confirmada
21/05/21,Rico,HGRU11,Compra,5,118.01,B3I,Confirmada
28/05/21,Rico,HGRU11,Compra,1,119.70,B3I,Confirmada
31/05/21,Rico,HGRU11,Compra,5,119.00,B3I,Confirmada
10/06/21,Rico,ALZR12,Compra,18,0.00,B3I,Confirmada
14/06/21,Rico,HGRU11,Compra,4,121.77,B3I,Confirmada
15/06/21,Rico,HGFF11,Venda,4,83.75,B3I,Confirmada
15/06/21,Rico,HGFF11,Venda,2,83.73,B3I,Confirmada
15/06/21,Rico,HGFF11,Venda,11,83.70,B3I,Confirmada
15/06/21,Rico,HGRU11,Compra,16,121.47,B3I,Confirmada
22/06/21,Rico,ALZR12,Venda,18,0.00,B3I,Confirmada
23/06/21,Rico,HCTR11,Compra,1,136.34,B3I,Confirmada
25/06/21,Rico,HCTR11,Compra,1,136.60,B3I,Confirmada
12/07/21,XP,HCTR11,Compra,1,134.30,B3I,Confirmada
15/07/21,XP,HCTR11,Compra,1,135.90,B3I,Confirmada
23/07/21,XP,HCTR11,Compra,1,136.49,B3I,Confirmada
26/07/21,XP,HGLG12,Compra,6,0.00,B3I,Confirmada
02/08/21,XP,HCTR12,Compra,6,0.00,B3I,Confirmada
04/08/21,XP,XPML12,Compra,12,0.00,B3I,Confirmada
10/08/21,XP,HGLG12,Venda,6,0.00,B3I,Confirmada
11/08/21,XP,HCTR11,Compra,1,121.41,B3I,Confirmada
13/08/21,XP,HCTR11,Compra,1,121.15,B3I,Confirmada
16/08/21,XP,XPML12,Venda,12,0.00,B3I,Confirmada
